instance,V1_init,V2_init,V3_init,T1_init,T2_init,T3_init,xA1_init,xA2_init,xA3_init,xB1_init,xB2_init,xB3_init,F1_init,F2_init,F3_init,Ff1_init,Ff2_init,FR_init,Q1_init,Q2_init,Q3_init,V1_sp,V2_sp,V3_sp,T1_sp,T2_sp,T3_sp,xA1_sp,xA2_sp,xA3_sp,xB1_sp,xB2_sp,xB3_sp,F1_sp,F2_sp,F3_sp,Ff1_sp,Ff2_sp,FR_sp,Q1_sp,Q2_sp,Q3_sp
1,1.0,0.5,1.0,432.4,427.1,432.1,0.536,0.545,0.298,0.448,0.438,0.67,22.04,27.08,9.74,5.04,5.04,17.0,715000.0,580000.0,569000.0,2.0,1.5,2.0,403.8460945,404.7879848,408.8177218,0.689766771,0.630379495,0.452449984,0.304934566,0.362225213,0.534963501,24.05222392,29.18914519,14.53846102,9.688808065,5.13692127,14.36341586,717430.9689,506635.3483,493987.5825
2,2.0,1.5,2.0,403.8460945,404.7879848,408.8177218,0.689766771,0.630379495,0.452449984,0.304934566,0.362225213,0.534963501,24.05222392,29.18914519,14.53846102,9.688808065,5.13692127,14.36341586,717430.9689,506635.3483,493987.5825,1.9,1.2,1.7,424.3162848,410.4596068,415.5435277,0.473050806,0.552682061,0.369582523,0.502738885,0.427662186,0.598554521,18.07236828,27.69516655,14.38088502,5.019151098,9.622798269,13.05321718,737890.5271,523443.2869,591370.0539
3,1.9,1.2,1.7,424.3162848,410.4596068,415.5435277,0.473050806,0.552682061,0.369582523,0.502738885,0.427662186,0.598554521,18.07236828,27.69516655,14.38088502,5.019151098,9.622798269,13.05321718,737890.5271,523443.2869,591370.0539,1.0,2.1,1.2,404.0358944,406.8631369,411.62361,0.765499077,0.635901877,0.448897962,0.231571051,0.357139526,0.538862571,23.7056811,29.18866936,13.8445086,8.662386235,5.48298826,15.04329486,709749.213,506830.3084,583597.1271
4,1.0,2.1,1.2,404.0358944,406.8631369,411.62361,0.765499077,0.635901877,0.448897962,0.231571051,0.357139526,0.538862571,23.7056811,29.18866936,13.8445086,8.662386235,5.48298826,15.04329486,709749.213,506830.3084,583597.1271,1.5,2.4,2.4,397.9923553,397.0360308,402.0779034,0.758730489,0.677612028,0.566261976,0.238283327,0.317116893,0.426073527,18.19182557,26.89449239,16.97552512,8.467347853,8.702666826,9.724477715,687730.8408,579765.4792,569507.9014
5,1.5,2.4,2.4,397.9923553,397.0360308,402.0779034,0.758730489,0.677612028,0.566261976,0.238283327,0.317116893,0.426073527,18.19182557,26.89449239,16.97552512,8.467347853,8.702666826,9.724477715,687730.8408,579765.4792,569507.9014,1.5,1.5,0.85,398.0450029,395.6052312,399.7737617,0.778491485,0.742747358,0.62218063,0.219130989,0.254097291,0.372711554,20.46244635,28.41284839,15.73350858,8.031721046,7.950402042,12.43072531,680999.687,536468.7248,497447.2636
6,1.5,1.5,0.85,398.0450029,395.6052312,399.7737617,0.778491485,0.742747358,0.62218063,0.219130989,0.254097291,0.372711554,20.46244635,28.41284839,15.73350858,8.031721046,7.950402042,12.43072531,680999.687,536468.7248,497447.2636,1.1,1.8,1.2,392.5075012,391.2094434,395.5521334,0.859244939,0.801833615,0.708276829,0.139898464,0.196553602,0.289135517,21.90179136,30.85811366,17.48803982,8.793875832,8.956322303,13.10791552,713719.3495,574786.7837,562830.3293
7,1.1,1.8,1.2,392.5075012,391.2094434,395.5521334,0.859244939,0.801833615,0.708276829,0.139898464,0.196553602,0.289135517,21.90179136,30.85811366,17.48803982,8.793875832,8.956322303,13.10791552,713719.3495,574786.7837,562830.3293,0.7,2.3,2.5,396.4124289,403.0155605,407.7603545,0.843984449,0.669395847,0.523316774,0.154642221,0.324990029,0.467656114,20.59825544,25.069782,13.76021343,9.510443117,4.47152656,11.08781233,705356.2835,524572.2487,499605.2178
8,0.7,2.3,2.5,396.4124289,403.0155605,407.7603545,0.843984449,0.669395847,0.523316774,0.154642221,0.324990029,0.467656114,20.59825544,25.069782,13.76021343,9.510443117,4.47152656,11.08781233,705356.2835,524572.2487,499605.2178,0.78,1.6,1.9,404.6210575,409.8619371,416.127363,0.779073656,0.623375975,0.477099435,0.218177462,0.36873119,0.510736811,16.6463873,20.96432191,12.07124351,7.92768298,4.317934612,8.718704319,733231.0229,557520.5259,551673.3189
9,0.78,1.6,1.9,404.6210575,409.8619371,416.127363,0.779073656,0.623375975,0.477099435,0.218177462,0.36873119,0.510736811,16.6463873,20.96432191,12.07124351,7.92768298,4.317934612,8.718704319,733231.0229,557520.5259,551673.3189,2.4,0.73,1.9,407.6435109,403.6646581,408.9110584,0.6303536,0.656297989,0.501537536,0.360968591,0.335634418,0.485332183,21.60237141,27.93901357,15.01172419,8.928558289,6.336642159,12.67381312,732900.261,546865.8951,615629.9
11,1.5,1.6,2.0,447.7715636,429.1536473,437.0068403,0.229950929,0.319345907,0.182583627,0.662344809,0.594283126,0.700123873,10.47120273,17.98618217,11.21925299,3.836958435,7.514979437,6.634244297,708400.889,609603.9197,593304.0137,2.1,0.89,2.4,411.0468068,411.8755445,415.6286024,0.628808154,0.600694018,0.38391717,0.362884915,0.389657102,0.598124027,27.16584131,31.33651195,13.26120108,9.444948299,4.17067064,17.72089301,712622.267,597396.5177,493902.3136
