instance,label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210
1202,6,0.005349956,0.003682828,0.9617749,0.00000796,0.0000155,0.9942173,0.94432056,0.9526909,0.9948526,0.95274186,0.0000142,0.029736215,0.004727847,0.002859913,0.99265975,0.0000132,0.96501464,0.01929904,0.9472281,0.0000332,0.005797995,0.000122867,0.02653949,0.0000104,0.0000241,0.085852206,0.0000168,0.0000256,0.07213521,0.96414334,0.97682244,0.970037,0.007072825,0.0000109,0.9866496,0.00000674,0.00000779,0.028250568,0.00000354,0.0000291,0.0000437,0.014823172,0.0000269,0.0000214,0.017129008,0.00000575,0.00000748,0.026892439,0.005067996,0.029664805,0.99999535,0.0000165,0.0000117,0.017982697,0.00000178,0.0000113,0.018253304,0.00748068,0.005491886,0.9601054,0.95791215,0.9271646,0.96907055,0.9509593,0.000015,0.015351748,0.00000764,0.0000894,0.9756025,0.0000156,0.9431354,0.04683546,0.96641415,0.004876762,0.9636553,0.0000261,0.015272922,0.0000183,0.0000349,0.017100668,0.00000753,0.00500969,0.02168636,0.0000374,0.00000657,0.020415781,0.00000997,0.9519672,0.038296204,0.9566613,0.0000382,0.0000245,0.018307023,0.0000368,0.0000139,0.018939873,0.00000816,0.006802659,0.016518762,0.0000145,0.0000126,0.01726159,0.9634756,0.007149911,0.9999877,0.9647473,0.9522567,0.99999,0.96820116,0.007663246,0.021106511,0.0000146,0.0000113,0.99998665,0.003953989,0.98112905,0.019074716,0.9511944,0.00000607,0.95122373,0.94401574,0.9999567,0.008648862,0.033698104,0.016909285,0.0000406,0.95390886,0.050817363,0.9582556,0.0000867,0.96230114,0.0000983,0.9533476,0.96008706,0.03514313,0.0000584,0.043479763,0.022440258,0.95802975,0.005769454,0.9337634,0.0000185,0.9536824,0.015576847,0.95799387,0.003328234,0.023281144,0.00000787,0.000149928,0.9999851,0.007298352,0.9779588,0.018142346,0.9534288,0.0000155,0.004453986,0.038872093,0.021509953,0.0000222,0.95367324,0.03643558,0.95463514,0.000038,0.96670336,0.0000105,0.9521323,0.9699479,0.019295061,0.00505424,0.9422876,0.03436508,0.00000819,0.00000552,0.024443867,0.9272149,0.007458578,0.018757178,0.96763647,0.000079,0.026483092,0.005424939,0.00000708,0.04197731,0.000008,0.94123495,0.000018,0.00000777,0.021946918,0.003936598,0.0000142,0.0000178,0.018820427,0.0000294,0.0000787,0.016890066,0.004959734,0.9786952,0.022325203,0.0000275,0.0000161,0.004023766,0.00000622,0.016254654,0.0000125,0.022615062,0.0000196,0.02533926,0.004588925,0.94425017,0.004943394
1203,5,0.000117306,0.0000699,0.9995345,7.23E-09,1.11E-08,0.9999274,0.002931815,0.002378972,0.9998795,0.002762044,2.41E-08,0.008267409,0.0000602,0.0000688,0.9999012,8.61E-09,0.9878221,0.99887484,0.002145225,3.18E-08,0.000120852,7.26E-09,0.038049757,4.76E-08,1.48E-08,0.039962444,3.91E-08,1.91E-08,0.040695652,0.002899531,0.99451965,0.96801823,0.0000952,2.07E-08,0.11848544,1.77E-08,3.24E-08,0.034205545,1.29E-08,7.58E-09,1.16E-08,0.99801445,3.72E-08,2.86E-08,0.99861276,2.07E-08,0.000000011,0.9984848,0.000062,0.06243983,1,4.73E-09,0.000000031,0.006133926,1.02E-08,1.37E-08,0.99879277,0.00012018,0.000150361,0.99960965,0.002262306,0.002928585,0.99946517,0.002120285,1.84E-08,0.007277597,9.76E-09,0.000000021,0.9993593,1.49E-08,0.9924711,0.99768317,0.001803086,0.000098,0.00216401,4.49E-09,0.9977998,3.01E-08,2.67E-08,0.9981244,7.99E-09,0.036377735,0.007941934,1.15E-08,1.78E-08,0.99815756,1.76E-08,0.002082568,0.9974413,0.001987379,2.23E-08,1.74E-09,0.9982405,2.15E-08,2.48E-08,0.9985044,2.59E-08,0.04390915,0.9980501,1.95E-09,1.56E-08,0.007617085,0.001634279,0.0000548,1,0.002356131,0.001343395,1,0.001631223,0.0000899,0.00604721,9.01E-09,1.36E-08,1,0.0000559,0.9921038,0.99831223,0.001902725,6.72E-09,0.001215651,0.002145631,1,0.0000739,0.03367912,0.007924228,3.42E-08,0.002072188,0.9974718,0.002169334,1.24E-08,0.99941814,2.11E-08,0.001635626,0.002114394,0.99788433,9.12E-09,0.051242657,0.998538,0.001324485,0.0000811,0.035628464,3.56E-08,0.002912686,0.9980623,0.002459783,0.0000829,0.006612846,1.34E-08,3.08E-08,1,0.000166396,0.9934909,0.99779785,0.002281824,7.07E-09,0.0000889,0.030943144,0.005531017,7.04E-09,0.001522729,0.99643445,0.002627943,1.87E-08,0.99925,4.54E-09,0.003289871,0.15676779,0.9983216,0.0000861,0.001746894,0.007613558,2.66E-08,6.21E-09,0.99854636,0.95518863,0.0000552,0.006443348,0.15892226,6.19E-08,0.007034475,0.039709155,3.64E-08,0.05348438,5.15E-09,0.04828854,6.91E-09,2.15E-08,0.00764595,0.037412267,1.99E-08,1.62E-08,0.005258913,5.22E-09,4.48E-09,0.9975815,0.000140525,0.9931942,0.99809843,0.000000018,1.84E-08,0.0000499,1.64E-08,0.9983675,1.05E-08,0.96567076,3.14E-08,0.005884962,0.000195246,0.002246323,0.0000628
1204,5,0.00000527,0.0000017,0.9998814,5.86E-09,4.06E-09,0.99999547,0.002045592,0.002865958,0.99999213,0.002590607,5.49E-09,0.003301468,0.00000293,0.00000807,0.99999607,1.69E-09,0.99792767,0.998486,0.002066539,2.98E-08,0.00000811,1.85E-08,0.014099203,4.45E-09,4.68E-09,0.012559938,9.75E-08,4.54E-09,0.008650121,0.002728999,0.99893206,0.99102825,0.00000611,1.99E-08,0.057183936,1.89E-08,5.31E-08,0.027502155,1.38E-08,5.67E-09,9.7E-09,0.99757034,2.16E-08,1.11E-08,0.9985184,0.000000024,1.17E-08,0.9982774,0.00000336,0.045367096,1,1.47E-08,2.21E-08,0.001695357,1.12E-08,4.29E-09,0.9983367,0.00000306,0.00000208,0.9998951,0.002828571,0.003564333,0.9999169,0.002158567,5.11E-08,0.002276844,4.1E-09,2.44E-08,0.99990046,1.33E-08,0.99799144,0.9969963,0.002917621,0.0000067,0.004353814,5.36E-09,0.9975115,0.000000019,1.23E-08,0.99754447,5.22E-10,0.033499572,0.003702263,1.66E-08,1.75E-08,0.9986847,3.79E-09,0.002191049,0.9964455,0.002616514,5.17E-08,4.61E-09,0.99816567,1.88E-08,2.18E-08,0.998741,7.39E-09,0.028219655,0.9984456,2.88E-09,8.08E-09,0.00249085,0.002868437,0.00000377,1,0.002832717,0.003399477,1,0.002813588,0.0000042,0.002154736,7.92E-09,4.62E-09,1,0.000007,0.997566,0.99829894,0.00247532,1.07E-08,0.001958539,0.002906759,1,0.00000432,0.01347048,0.001161012,3.82E-08,0.003327232,0.99638593,0.001807029,3.04E-08,0.99995196,1.65E-08,0.003533033,0.002054638,0.9971951,5.82E-09,0.012730467,0.9982875,0.002163646,0.00000309,0.013512298,7.24E-09,0.002208887,0.998718,0.00423365,0.00000381,0.002801091,0.000000026,6.11E-08,1,0.00000666,0.9975834,0.99787915,0.003299018,1.69E-08,0.00000334,0.014666528,0.001296863,3.11E-09,0.004131582,0.9969139,0.002319082,5.43E-08,0.9999243,1.15E-09,0.002287432,0.05907334,0.9984464,0.00000406,0.002652312,0.002812904,2.51E-08,5.94E-09,0.9987967,0.98793775,0.00000337,0.003201966,0.04599296,7.32E-08,0.001368419,0.027636614,3.47E-09,0.03949318,4.31E-09,0.014310177,4.76E-09,3.11E-08,0.003843177,0.029514339,2.09E-08,6.74E-09,0.00182182,2.87E-08,3.37E-08,0.9981681,0.00000219,0.9980483,0.9976653,2.63E-08,3.46E-08,0.00000511,1.01E-08,0.99840313,2.08E-08,0.9920106,4.26E-08,0.001193333,0.0000073,0.002090205,0.00000931
1205,5,0.00000255,0.00000118,0.9999614,3.91E-12,5.97E-12,0.9999993,7.51E-08,9.73E-08,0.99999917,5.52E-08,8.56E-11,0.18095846,0.000000659,0.00000148,0.9999988,7.62E-12,0.8582355,1,1.45E-08,7.83E-12,0.00000416,2.2E-12,0.6773933,2.25E-10,1.67E-11,0.70448184,1.1E-10,1.35E-11,0.69202584,8.11E-08,0.7949333,0.65061706,0.00000174,1.99E-11,0.38129765,1.38E-10,4.2E-10,0.71941847,6.78E-11,2.36E-12,1.27E-11,0.9999999,9.62E-12,2.16E-10,1,1.06E-10,1.78E-11,1,0.00000153,0.3389961,1,3.71E-12,2.55E-11,0.19107895,5.54E-11,1.85E-11,1,0.00000138,0.00000228,0.99997544,4.85E-08,8.02E-08,0.9999596,4.14E-08,9.82E-11,0.16790983,8.68E-11,3.33E-12,0.99991715,5.93E-11,0.8136124,0.9999999,9.15E-08,0.00000114,5.45E-08,2.65E-12,0.9999999,3.73E-11,1.87E-11,0.9999999,1.48E-11,0.4250386,0.21501273,1.66E-12,5.79E-11,1,9.11E-11,4.27E-08,0.9999999,4.58E-08,3.05E-11,3.12E-14,0.9999999,4.36E-11,5.83E-11,1,2.64E-11,0.39365166,0.9999999,7.56E-13,7.75E-11,0.20992862,7.84E-08,0.00000138,1,3.36E-08,1.86E-08,1,1.59E-08,0.000000742,0.21304713,1.63E-11,4.56E-11,1,0.000000364,0.7991586,1,6.13E-08,1.41E-11,8.35E-09,6.64E-08,1,0.000000608,0.30943084,0.19805574,3.06E-11,8.01E-08,1,0.000000104,1.72E-12,0.9999721,1.42E-11,1.89E-08,2.73E-08,1,1.77E-12,0.26947573,1,3.05E-08,0.00000193,0.004067966,2.01E-10,0.000000146,0.99999976,0.000000075,0.00000124,0.17188577,3.32E-11,9.94E-12,1,0.00000454,0.76263994,0.9999999,4.03E-08,1.81E-12,0.00000105,0.32444453,0.17899124,7.04E-12,0.000000026,0.99999964,9.07E-08,1.28E-11,0.99990296,9.11E-12,8.08E-08,0.0750777,0.9999999,0.00000049,7.59E-08,0.20329452,8.35E-11,5.36E-11,0.9999999,0.34239775,0.00000138,0.19091778,0.091106996,4.08E-11,0.2137604,0.36536083,2.8E-10,0.33162665,3.65E-12,0.004776911,9.04E-12,7.61E-11,0.23562384,0.39334276,4.82E-11,1.92E-11,0.17636144,2.57E-12,4.58E-13,1,0.00000377,0.8233833,0.9999999,2.87E-11,3.76E-11,0.000000967,3.72E-11,1,3.48E-12,0.99400723,5.83E-11,0.19729777,0.00000482,2.65E-08,0.00000195
1206,2,0.000000677,0.000000388,0.77601033,1.16E-09,3.35E-09,0.9999994,0.001449238,0.001332599,0.9999993,0.001617177,6.98E-09,0.001770011,0.000000106,0.00000107,0.9999995,1.51E-09,0.9977406,0.8334055,0.000995905,1.17E-08,0.00000122,6.36E-09,0.50688624,1.42E-09,4.6E-09,0.9844476,1.23E-08,3.75E-09,0.9851837,0.000769862,0.9988493,0.005525367,0.000000886,4.18E-09,0.9928122,4.48E-09,1.04E-08,0.5473971,4.51E-09,2.43E-09,1.01E-08,0.8224172,1.75E-09,1.86E-08,0.8477452,9.95E-09,1.99E-09,0.86887485,0.000000349,0.636257,1,2.5E-09,6.18E-09,0.002203704,7.67E-09,1.23E-09,0.90174896,0.000000261,0.000000706,0.82456553,0.002203659,0.00114913,0.8419148,0.001012744,9.1E-09,0.001820575,3.96E-09,4.88E-09,0.81403416,5.31E-09,0.78198564,0.9990068,0.000615412,0.00000039,0.001149034,3.48E-09,0.83589005,5.68E-09,4.5E-09,0.79433256,2.4E-10,0.7520873,0.004536748,5.97E-10,3.6E-09,0.8565057,2.17E-09,0.000909721,0.9991322,0.000846737,1.94E-08,1.51E-09,0.8754943,5.03E-09,1.23E-08,0.8484227,8.84E-10,0.7216149,0.88908476,2.93E-09,2.21E-09,0.001214582,0.000284622,0.000000354,1,0.00094965,0.001060044,1,0.001249171,0.000000651,0.002918607,1.63E-09,1.3E-09,1,0.000000586,0.9977984,0.86454535,0.00147932,5.61E-09,0.000484355,0.000840569,1,0.000000487,0.99113244,0.001741138,1.62E-08,0.000794632,0.99863094,0.000711072,7.23E-09,0.81359273,8.12E-09,0.001682396,0.000708189,0.99855536,2.58E-09,0.9940844,0.8710094,0.000608317,0.000000276,0.003814052,5.38E-09,0.001153303,0.84965163,0.00119047,0.000000188,0.002608903,2.33E-09,1.44E-08,1,0.00000103,0.9965533,0.86356425,0.001121761,4.05E-09,0.000000334,0.99136645,0.001981888,3.88E-09,0.00128299,0.9991611,0.000679089,1.54E-08,0.82141066,3.72E-09,0.001416089,0.99251515,0.8652963,0.000000367,0.000715353,0.002848583,9.35E-09,4.45E-09,0.8824935,0.008796757,0.000000133,0.002291,0.99076253,5.38E-09,0.002439631,0.748173,1.01E-09,0.6193985,1.39E-09,0.008040551,1.13E-09,1.35E-08,0.003047002,0.7552523,8.91E-09,5.56E-09,0.002910703,3.98E-09,1.11E-08,0.8752198,0.000000199,0.9979462,0.8283711,7.3E-09,8.05E-09,0.000000381,1.54E-09,0.8256441,3.99E-09,0.7572597,2.32E-08,0.002564237,0.000000538,0.00150983,0.000000706
1208,5,0.000170272,0.00012576,0.9987564,4.99E-08,5.41E-08,0.9998747,0.001375496,0.001026015,0.9997962,0.001081287,0.000000159,0.03024765,0.0000979,0.000116566,0.99986327,5.54E-08,0.9594312,0.9994918,0.000931011,0.000000154,0.000209293,4.43E-08,0.17979957,0.000000307,9.52E-08,0.16478257,0.000000288,0.000000109,0.17912509,0.001233998,0.96858996,0.8879491,0.000161239,0.000000129,0.13963614,0.000000128,0.00000022,0.15876038,0.000000112,3.74E-08,6.58E-08,0.9991166,0.000000138,0.000000277,0.99924433,0.000000145,8.72E-08,0.9992231,0.000114305,0.13645871,0.9999999,3.91E-08,0.000000113,0.033959363,7.64E-08,8.51E-08,0.9993099,0.000208969,0.000250113,0.99877113,0.000934159,0.001183305,0.99852896,0.000782835,0.000000142,0.033790566,9.18E-08,0.0000001,0.9982899,0.00000012,0.9724237,0.99898416,0.000692493,0.000174582,0.000700263,3.53E-08,0.9989754,0.000000171,0.000000164,0.99903107,0.000000058,0.11080525,0.03514643,4.16E-08,0.000000128,0.9992077,0.000000114,0.000831362,0.9989887,0.000802168,0.000000135,8.6E-09,0.99902916,0.000000159,0.000000131,0.9993267,0.00000013,0.13635893,0.9990627,1.53E-08,0.000000124,0.031831678,0.000745904,0.000105048,0.9999999,0.000850952,0.000557916,1,0.000537864,0.000148084,0.03033226,0.00000006,0.000000109,0.99999976,0.0000842,0.96485347,0.99925727,0.000810843,5.45E-08,0.000560109,0.000942217,0.9999999,0.000117057,0.11653268,0.03323598,0.000000177,0.000941064,0.9988397,0.00094599,6.11E-08,0.99835265,0.000000118,0.000719495,0.000804547,0.99913687,3.95E-08,0.13134624,0.99938285,0.000571826,0.00012821,0.033836514,0.000000214,0.00141393,0.9989968,0.001003377,0.000111236,0.02902022,8.98E-08,0.000000123,0.9999999,0.000248087,0.9712412,0.99898,0.001032091,3.52E-08,0.000149945,0.0944868,0.030959003,4.67E-08,0.000690831,0.99833053,0.001095386,9.95E-08,0.99813396,5.14E-08,0.001461319,0.12672794,0.9990233,0.000144701,0.000827101,0.031162834,0.000000131,6.28E-08,0.9992244,0.8100584,0.00011803,0.03344579,0.12176698,0.0000002,0.037386786,0.12849188,0.000000199,0.11945179,4.06E-08,0.04766357,0.000000056,0.000000149,0.02970881,0.12443157,0.000000138,0.000000103,0.02811506,3.99E-08,1.83E-08,0.99901843,0.000231145,0.9691872,0.99907815,0.000000119,9.75E-08,0.000103448,8.37E-08,0.999193,4.59E-08,0.96878135,0.000000157,0.030847017,0.000260321,0.000988623,0.000128678
1209,6,0.001723978,0.004606602,0.99097836,0.00000538,0.00000216,0.9985154,0.014454937,0.018048162,0.9987457,0.021658093,0.00000484,0.1326045,0.001679387,0.002745958,0.9983297,0.00000256,0.84314626,0.98322046,0.024232741,0.00000968,0.002367741,0.00000912,0.055524766,0.00000299,0.00000125,0.05248346,0.0000259,0.0000057,0.03245077,0.024296528,0.9062038,0.98257196,0.001256153,0.00000877,0.041597255,0.00000704,0.0000221,0.05755972,0.00000362,0.00000375,0.00000895,0.97950065,0.00000797,0.00000645,0.9849338,0.0000119,0.00000983,0.97751653,0.001114641,0.019350253,0.99999225,0.00000493,0.00000843,0.10270729,0.00000321,0.00000372,0.9728449,0.001614719,0.000704256,0.98894763,0.025191765,0.021069538,0.99015146,0.019228278,0.0000125,0.13453525,0.00000259,0.00000971,0.9875848,0.00000267,0.89903164,0.97946197,0.023921696,0.001745157,0.02496427,0.00000473,0.97313404,0.00000529,0.000011,0.97711664,0.00000136,0.010244655,0.1327761,0.0000154,0.00000811,0.98099595,0.00000421,0.032078434,0.9738244,0.018027019,0.0000103,0.00000779,0.971457,0.00000463,0.00000572,0.9786542,0.00000622,0.018275538,0.9818193,0.00000992,0.000006,0.09974757,0.03262744,0.002158289,0.99999344,0.020675745,0.023956036,0.99998474,0.023662334,0.001021298,0.10249988,0.00000381,0.00000414,0.9999715,0.00316281,0.9306517,0.9713336,0.02266113,0.00000508,0.025835196,0.02956129,0.99999356,0.001811314,0.017001638,0.07115479,0.0000169,0.038530137,0.97749025,0.02536969,0.0000184,0.99371135,0.0000299,0.019376528,0.01907311,0.984686,0.0000096,0.009113335,0.975838,0.041674204,0.003135091,0.12272702,0.00000266,0.024629865,0.9730306,0.020658093,0.001664082,0.08166395,0.0000149,0.00000891,0.99999607,0.002745645,0.89089733,0.9742784,0.025560463,0.00000828,0.002003354,0.013591895,0.09220933,0.00000353,0.021466158,0.98218936,0.015401107,0.0000178,0.988313,0.00000292,0.016406026,0.028486216,0.9816985,0.001205255,0.025082761,0.15240698,0.0000143,0.00000272,0.9800642,0.9652674,0.001755485,0.10105808,0.018166663,0.0000229,0.09655715,0.012209714,0.00000445,0.01985182,0.00000314,0.103583984,0.00000818,0.0000113,0.0919706,0.014460915,0.00000552,0.00000797,0.10365274,0.0000126,0.0000221,0.98263955,0.00102856,0.9082254,0.96891934,0.00000744,0.0000104,0.003992057,0.00000428,0.9818102,0.00000743,0.9047038,0.0000123,0.1181612,0.003478569,0.024304938,0.003273647
1210,1,0.015105807,0.013009575,0.96317756,0.000721894,0.001344756,0.98116827,0.07408408,0.059410032,0.9879931,0.0758873,0.00096866,0.49421775,0.015959146,0.018117739,0.98567384,0.000960912,0.48941612,0.9104122,0.07015328,0.002625361,0.014532165,0.00271668,0.902824,0.000900017,0.001367204,0.86154443,0.002137735,0.002433421,0.8409957,0.05865446,0.41354325,0.6935534,0.012470712,0.001061117,0.8774044,0.001172675,0.001787191,0.8728828,0.000628134,0.000812467,0.002069022,0.9132606,0.001226002,0.002163959,0.9227138,0.000866873,0.000894231,0.9123889,0.021952897,0.50434035,0.99923944,0.003825697,0.000863717,0.54758215,0.001489683,0.001166084,0.89279956,0.011376238,0.014476254,0.9569229,0.06585978,0.09166614,0.9666104,0.10626325,0.002550663,0.59955776,0.002072745,0.002944201,0.95954376,0.001701891,0.60253346,0.92625827,0.11005647,0.011653676,0.087761275,0.00152308,0.9018392,0.000963827,0.002301708,0.92071825,0.000753261,0.38490984,0.5055061,0.001385864,0.00090215,0.9027319,0.000886759,0.120438844,0.9389915,0.10873593,0.002698345,0.001689937,0.9060056,0.001047807,0.000842468,0.91008633,0.000582295,0.4021811,0.8944822,0.001182226,0.001001595,0.61568266,0.10241071,0.017756646,0.99908006,0.08737434,0.109727174,0.9990049,0.10442833,0.019459445,0.5585749,0.001835485,0.001662993,0.9988752,0.016895806,0.39420468,0.8954595,0.066381656,0.001662391,0.09437504,0.11682712,0.99680233,0.013424578,0.37784034,0.62931615,0.001521917,0.10834762,0.9181992,0.11574034,0.00268892,0.9712441,0.005592985,0.08840545,0.12696004,0.94566655,0.000853811,0.30822378,0.9058302,0.09840424,0.01708571,0.57870203,0.001077467,0.066564344,0.9090109,0.10045576,0.01882513,0.5398307,0.00102148,0.005024679,0.99925,0.012098665,0.47337487,0.90308833,0.089386895,0.001948169,0.015096609,0.35869598,0.5547013,0.001886846,0.10806059,0.9116178,0.11753906,0.004318283,0.96541584,0.000975504,0.052778028,0.49502093,0.9006642,0.014218228,0.10547264,0.47168264,0.000641957,0.00110674,0.8773027,0.14769052,0.016377872,0.5291965,0.5443215,0.002635962,0.5389964,0.38814506,0.000481675,0.440322,0.000645134,0.48797294,0.001209354,0.000937215,0.58812183,0.40559286,0.001489774,0.001690544,0.5310853,0.002397509,0.005164792,0.9067802,0.011692817,0.37469643,0.9222347,0.003318655,0.000929242,0.011560324,0.000361016,0.91150504,0.000650873,0.45159128,0.001684045,0.47196713,0.010545766,0.09502529,0.014607577
1211,6,0.001490557,0.001112814,0.99799514,0.00000163,0.00000322,0.99907935,0.60637033,0.60267216,0.9985455,0.5997934,0.00000275,0.006572526,0.001260742,0.001596638,0.99848,0.00000101,0.9961165,0.43216598,0.6010535,0.0000133,0.001277934,0.0000106,0.002493073,0.00000217,0.00000263,0.003003211,0.00000622,0.00000331,0.002106601,0.59521025,0.9990369,0.99626946,0.001296633,0.00000539,0.5129662,0.00000287,0.00000385,0.003973206,0.00000106,0.00000447,0.00000388,0.4172174,0.0000255,0.00000123,0.41524395,0.00000242,0.00000159,0.4213443,0.001433087,0.007307955,0.9999957,0.00000398,0.000011,0.001424689,0.00000109,0.00000328,0.4536885,0.001186169,0.000620596,0.9979849,0.59606683,0.63543516,0.99758554,0.61375445,0.00000396,0.001636906,0.00000102,0.0000112,0.9974904,0.00000231,0.9933814,0.379586,0.574543,0.001375027,0.5981466,0.00000281,0.4395382,0.00000631,0.0000053,0.45227692,0.000000796,0.002630953,0.002601318,0.0000162,0.00000187,0.4205834,0.00000166,0.58330053,0.38799646,0.5981193,0.0000112,0.00000525,0.43634224,0.00000482,0.0000035,0.4333737,0.00000344,0.002865839,0.42437866,0.00000262,0.00000226,0.002059396,0.5999126,0.001115528,0.9999956,0.5773009,0.6096575,0.999997,0.5884928,0.001106152,0.002618351,0.000003,0.00000204,0.9999927,0.001282565,0.9980586,0.46326613,0.5807062,0.00000157,0.5908405,0.5617587,0.9999975,0.001590973,0.003899621,0.001213496,0.0000167,0.58619547,0.37910995,0.58580196,0.0000204,0.9983553,0.0000166,0.5996679,0.5900507,0.3855928,0.0000101,0.003371406,0.44839507,0.5775394,0.000981885,0.5392805,0.00000308,0.56687474,0.43744305,0.6073618,0.001293579,0.002167313,0.00000261,0.0000237,0.9999907,0.001397006,0.99817073,0.44912517,0.628713,0.00000537,0.001311731,0.003998219,0.001452251,0.00000263,0.5959656,0.40975282,0.60091066,0.000014,0.9981542,0.000000626,0.6192133,0.5315937,0.44121048,0.001004514,0.5901945,0.003727332,0.00000397,0.00000105,0.44050255,0.9972922,0.0011964,0.002116189,0.5198809,0.00005,0.001323401,0.002704267,0.00000189,0.007690417,0.00000158,0.5668957,0.00000181,0.00000273,0.001910667,0.002781766,0.00000452,0.00000457,0.001886085,0.00000485,0.0000306,0.44790286,0.001039611,0.99799865,0.43625385,0.00000709,0.00000495,0.001246945,0.00000376,0.43836364,0.00000547,0.47815666,0.00000695,0.001612333,0.001643036,0.58578837,0.001822565
1212,6,0.001830097,0.000937408,0.9987783,3.99E-08,0.000000182,0.99832386,0.96681935,0.9615181,0.99835443,0.9635255,5.88E-08,0.000976797,0.000936291,0.000874536,0.9984711,7.95E-08,0.99920815,0.012808058,0.96862835,0.00000109,0.001134828,0.000000685,0.0000488,9.47E-08,0.000000301,0.000209395,0.000000222,0.00000017,0.000188707,0.9638954,0.9999616,0.9997631,0.001371894,0.000000177,0.8697535,8.74E-08,6.18E-08,0.0000601,1.76E-08,0.000000562,0.000000268,0.013432217,0.00000182,4.55E-08,0.016201153,0.000000092,6.49E-08,0.016156677,0.001329751,0.003162027,0.9999999,4.33E-08,0.000000536,0.0000438,1.17E-08,0.00000013,0.023940098,0.001347763,0.001881127,0.9991079,0.9617036,0.97108465,0.99922204,0.9704715,0.000000146,0.0000386,2.82E-08,0.00000142,0.99924374,0.000000108,0.99893814,0.045509502,0.9817313,0.001229369,0.9865106,0.000000181,0.023786373,0.00000036,0.000000261,0.016244555,6.43E-08,0.0000545,0.0000562,0.000000792,7.82E-08,0.016735403,0.000000102,0.97434074,0.034397677,0.9774369,0.000000322,0.000000306,0.01964241,0.000000165,0.000000121,0.01992274,0.00000017,0.0000466,0.017744865,0.000000118,4.96E-08,0.0000679,0.97946596,0.00089942,0.99999976,0.9794478,0.9800498,0.9999999,0.98465836,0.002193138,0.00011415,0.000000136,6.31E-08,0.9999999,0.001541732,0.99985826,0.016706457,0.96616614,0.000000025,0.9759878,0.9801338,0.9999999,0.001694577,0.000312106,0.000083,0.000000906,0.9776589,0.053700306,0.9809018,0.00000107,0.999171,0.00000056,0.9860772,0.98678756,0.038802255,0.000000683,0.000439806,0.020055955,0.9766842,0.001052779,0.9085232,0.000000136,0.9731901,0.028681522,0.9812408,0.001320993,0.000064,9.07E-08,0.00000275,0.99999964,0.001968663,0.9999232,0.01959195,0.96418244,0.000000129,0.001218801,0.000457994,0.0000413,0.000000105,0.972234,0.031102257,0.98241144,0.000000761,0.99892277,5.79E-08,0.9552336,0.91937447,0.018414145,0.001733771,0.9775959,0.000503574,8.37E-08,2.03E-08,0.016190888,0.9998022,0.001105675,0.0000494,0.95123345,0.00000276,0.0000622,0.0000617,6.28E-08,0.002525205,3.63E-08,0.87250936,5.55E-08,8.57E-08,0.0000828,0.000041,0.000000219,0.000000124,0.0000426,9.13E-08,0.0000012,0.011603234,0.001026525,0.9999299,0.021470385,0.000000422,0.00000017,0.000771422,0.000000117,0.019770088,0.000000274,0.08506583,0.000000208,0.0000567,0.00170285,0.9798553,0.000785376
