x1,x2,x3,x4,x5,x6,x7,x8
-148.6228840980697,-524.6211475068483,-11983.246800987681,-2989.5220903606605,-5.066792006587244,-4683.417191263154,-1464.942986171171,-65.44066304711394
-221.25012027092595,-769.9313432502286,-13132.717683513634,-3062.3446247191027,-41.66330679577845,-4054.4634927219568,-556.9103819325921,-25.014199665220566
-72.70252039343603,-422.1533613730811,-8369.176340456506,-1737.3426525589844,-38.4471150637586,-2806.6957778128904,-1004.0089051702256,-20.448947865984643
-264.07800603832897,-934.2197876248883,-13549.310458027625,-3445.7190319042556,-78.28234501592935,-3554.6946196084427,-235.369323728911,-100.7448064246903
-324.0547554967407,-621.9087697209798,-3793.1418241762217,-414.11970923354914,-320.0770692747978,-448.6489334405664,-629.796125825972,-315.1647354059805
-142.12780908583667,-55.49562093164539,-4995.86330008306,-1380.9565781322492,-101.41929009550142,-2405.152856736712,-1203.1135345360149,-59.78532419129944
-1667.3524169016555,-2123.834035210395,-3481.1261290824414,-457.20586621222225,-1559.121857716075,-97.71264124002523,-1787.672828835718,-1604.6238189963983
-88.80029833281738,-296.84418328691714,-14236.143654829983,-4108.810783998421,-12.65056306658278,-7370.353626513706,-2376.86571327088,-115.48436446259693
-35.28455456209667,-386.45347369088466,-7113.3112252739575,-1790.1273233634497,-37.31803882870166,-2967.024765734984,-802.1559629066348,-55.64451845149835
-342.3456226885808,-1283.9298657456213,-22049.51013536992,-7303.12912747774,-0.1812025362007271,-11841.857595100366,-3714.3149462725287,-163.39533396175025
-488.12937734041935,-1087.60539890982,-7048.545652888679,-1446.7555340462918,-426.5411024203912,-985.7295558427337,-64.38466687523137,-487.12549724059096
-102.59648070337353,-398.55993827893303,-12790.859219439964,-3425.5614467299747,-6.233880217192686,-5766.894525414371,-1799.8139473292915,-72.02223841160014
-16.92816818536249,-476.49800658131164,-11194.2194347939,-2706.3058784504874,-66.49196433985068,-4562.395832799409,-1466.694330857649,-45.421058967666184
