instance,V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,F1,F2,F3,Ff1,Ff2,FR,Q1,Q2,Q3,label
1,1.014467934,2.213724404,-0.133178619,-1.255275978,-1.298434854,-1.300122013,0.588500875,0.363265341,0.613636328,-0.635216284,-0.373966003,-0.647841998,0.069709353,0.635836797,2.134831018,1.275963724,1.237434007,-0.596932624,-1.004243923,-0.299196572,-0.386425753,8
3,0.760787531,0.614745781,0.727393714,0.305011182,-0.041619605,-0.148390718,-0.392164821,-0.237485351,-0.330725065,0.435324268,0.259442752,0.373111655,0.608460932,1.397337312,1.246168956,-0.325819569,1.782854671,0.872231984,1.344713653,1.856501501,0.461180599,6
4,-0.380774286,0.36874907,-0.121057882,0.061087812,0.519984935,0.446389369,0.086587088,-0.323755408,-0.562413442,-0.093221592,0.364851513,0.64874899,1.063076723,0.362617363,-0.872513893,0.447445857,-1.399474182,0.984440882,-1.623275681,-1.058321223,-1.795810217,5
5,1.39498854,0.614745781,-0.848302107,0.10562964,0.083963804,0.158992553,-0.557310426,-0.569590496,-0.384256727,0.597802729,0.597215942,0.386326511,-0.514914686,-0.431671595,0.493293578,0.441683572,0.121828141,-0.826192979,-0.200196212,-0.930445848,2.391545231,7
7,1.141308136,0.614745781,0.242564231,-1.812552107,-1.523252247,-1.555341928,1.280122813,1.145146114,1.085166613,-1.217642574,-1.014767042,-0.907248515,0.806461245,0.86220903,1.69716695,1.841490925,0.213394695,-0.05021532,-0.330108507,-0.421156665,0.309723772,1
8,0.380266925,-2.029718864,0.12135686,-0.524832346,-0.784856553,-0.844759652,0.488256793,0.979977173,0.99673832,-0.542590697,-1.086549908,-1.134878864,0.757535875,0.906582264,0.780150983,0.540526225,0.410409115,0.583871795,0.187984841,-0.75380382,-1.186170329,7
9,-2.156537112,1.660231804,-1.211924219,0.206716797,0.725540764,0.775434308,0.328070826,-0.397732058,-0.561280516,-0.373974008,0.449732376,0.65421754,-0.002657908,-0.646005173,-1.464990216,-0.307704369,-1.397455132,0.160219756,0.020032219,0.124966183,1.476386108,5
13,0.507107127,0.737744137,-0.714973999,-0.270432535,-0.575607889,-0.623828788,0.290085443,0.498568733,0.365016279,-0.298900344,-0.503543618,-0.352031138,1.018100418,1.532251086,1.290317246,0.311784809,1.233133194,1.004731314,0.70174028,0.120853471,1.723443966,2
14,-0.380774286,-1.59922462,0.836480348,-0.402406948,-0.617547676,-0.57604228,0.391715854,0.772212401,0.939876109,-0.4279188,-0.842725356,-1.05070839,-0.939293949,-0.859986721,-0.109756223,-0.237797765,0.06469557,-0.953412894,-1.611684551,0.655446189,-1.19306945,7
15,-0.761294892,1.352735915,-0.969509478,-0.333322954,-0.129545528,-0.211524587,0.525907434,0.198261672,0.060454896,-0.590799338,-0.216383671,-0.059093218,1.624353867,1.570456337,0.517227139,0.61575537,0.06891556,1.540245672,0.20718239,-0.51255971,-0.370455749,5
