step,time,CMPC_qh,CMPC_qc,CMPC_V,CMPC_T,qh_sp,qc_sp,V_sp,T_sp
0,0.000000,11.336252,6.325927,5.000000,320.000000,11.000000,6.000000,5.500000,364.705882
1,0.100000,11.289673,6.282867,5.066218,333.074927,11.000000,6.000000,5.500000,364.705882
2,0.200000,11.250401,6.245860,5.123472,342.166900,11.000000,6.000000,5.500000,364.705882
3,0.300000,11.216838,6.213775,5.173098,348.543649,11.000000,6.000000,5.500000,364.705882
4,0.400000,11.187956,6.185867,5.216159,353.049222,11.000000,6.000000,5.500000,364.705882
5,0.500000,11.163013,6.161572,5.253542,356.253419,11.000000,6.000000,5.500000,364.705882
6,0.600000,11.141427,6.140423,5.286000,358.545357,11.000000,6.000000,5.500000,364.705882
7,0.700000,11.122727,6.122018,5.314185,360.193387,11.000000,6.000000,5.500000,364.705882
8,0.800000,11.106515,6.106008,5.338660,361.384156,11.000000,6.000000,5.500000,364.705882
9,0.900000,11.092453,6.092086,5.359912,362.248448,11.000000,6.000000,5.500000,364.705882
10,1.000000,11.080254,6.079984,5.378366,362.878507,11.000000,6.000000,5.500000,364.705882
11,1.100000,11.069668,6.069466,5.394390,363.339765,11.000000,6.000000,5.500000,364.705882
12,1.200000,11.060480,6.060328,5.408303,363.678877,11.000000,6.000000,5.500000,364.705882
13,1.300000,11.052506,6.052389,5.420384,363.929260,11.000000,6.000000,5.500000,364.705882
14,1.400000,11.045584,6.045492,5.430873,364.114950,11.000000,6.000000,5.500000,364.705882
15,1.500000,11.039575,6.039503,5.439981,364.253301,11.000000,6.000000,5.500000,364.705882
16,1.600000,11.034359,6.034301,5.447889,364.356885,11.000000,6.000000,5.500000,364.705882
17,1.700000,11.029831,6.029783,5.454755,364.434843,11.000000,6.000000,5.500000,364.705882
18,1.800000,11.025899,6.025860,5.460716,364.493838,11.000000,6.000000,5.500000,364.705882
19,1.900000,11.022486,6.022454,5.465892,364.538746,11.000000,6.000000,5.500000,364.705882
20,2.000000,11.019523,6.019496,5.470386,364.573146,11.000000,6.000000,5.500000,364.705882
21,2.100000,11.016950,6.016927,5.474288,364.599669,11.000000,6.000000,5.500000,364.705882
22,2.200000,11.014717,6.014697,5.477676,364.620260,11.000000,6.000000,5.500000,364.705882
23,2.300000,11.012777,6.012761,5.480617,364.636362,11.000000,6.000000,5.500000,364.705882
24,2.400000,11.011093,6.011079,5.483171,364.649045,11.000000,6.000000,5.500000,364.705882
25,2.500000,11.009632,6.009620,5.485388,364.659110,11.000000,6.000000,5.500000,364.705882
26,2.600000,11.008362,6.008352,5.487313,364.667156,11.000000,6.000000,5.500000,364.705882
27,2.700000,11.007260,6.007251,5.488985,364.673637,11.000000,6.000000,5.500000,364.705882
28,2.800000,11.006303,6.006296,5.490436,364.678895,11.000000,6.000000,5.500000,364.705882
29,2.900000,11.005473,6.005466,5.491696,364.683189,11.000000,6.000000,5.500000,364.705882
30,3.000000,11.004751,6.004746,5.492790,364.686719,11.000000,6.000000,5.500000,364.705882
31,3.100000,11.004125,6.004120,5.493739,364.689640,11.000000,6.000000,5.500000,364.705882
32,3.200000,11.003581,6.003577,5.494564,364.692070,11.000000,6.000000,5.500000,364.705882
33,3.300000,11.003109,6.003105,5.495280,364.694102,11.000000,6.000000,5.500000,364.705882
34,3.400000,11.002699,6.002696,5.495901,364.695810,11.000000,6.000000,5.500000,364.705882
35,3.500000,11.002343,6.002340,5.496441,364.697252,11.000000,6.000000,5.500000,364.705882
36,3.600000,11.002033,6.002031,5.496909,364.698473,11.000000,6.000000,5.500000,364.705882
37,3.700000,11.001765,6.001763,5.497315,364.699511,11.000000,6.000000,5.500000,364.705882
38,3.800000,11.001532,6.001530,5.497668,364.700396,11.000000,6.000000,5.500000,364.705882
39,3.900000,11.001329,6.001327,5.497974,364.701152,11.000000,6.000000,5.500000,364.705882
40,4.000000,11.001153,6.001151,5.498240,364.701801,11.000000,6.000000,5.500000,364.705882
41,4.100000,11.001000,6.000999,5.498470,364.702357,11.000000,6.000000,5.500000,364.705882
42,4.200000,11.000867,6.000866,5.498670,364.702836,11.000000,6.000000,5.500000,364.705882
43,4.300000,11.000751,6.000750,5.498843,364.703248,11.000000,6.000000,5.500000,364.705882
44,4.400000,11.000650,6.000649,5.498993,364.703604,11.000000,6.000000,5.500000,364.705882
45,4.500000,11.000563,6.000562,5.499123,364.703912,11.000000,6.000000,5.500000,364.705882
46,4.600000,11.000486,6.000486,5.499236,364.704178,11.000000,6.000000,5.500000,364.705882
47,4.700000,11.000419,6.000419,5.499333,364.704408,11.000000,6.000000,5.500000,364.705882
48,4.800000,11.000361,6.000361,5.499417,364.704608,11.000000,6.000000,5.500000,364.705882
49,4.900000,11.000310,6.000309,5.499489,364.704781,11.000000,6.000000,5.500000,364.705882
50,5.000000,11.000265,6.000265,5.499551,364.704932,11.000000,6.000000,5.500000,364.705882
51,5.100000,11.000225,6.000225,5.499604,364.705063,11.000000,6.000000,5.500000,364.705882
52,5.200000,11.000190,6.000190,5.499649,364.705177,11.000000,6.000000,5.500000,364.705882
53,5.300000,11.000159,6.000159,5.499687,364.705278,11.000000,6.000000,5.500000,364.705882
54,5.400000,11.000131,6.000131,5.499719,364.705366,11.000000,6.000000,5.500000,364.705882
55,5.500000,11.000105,6.000105,5.499745,364.705443,11.000000,6.000000,5.500000,364.705882
56,5.600000,11.000082,6.000082,5.499766,364.705512,11.000000,6.000000,5.500000,364.705882
57,5.700000,11.000060,6.000060,5.499782,364.705573,11.000000,6.000000,5.500000,364.705882
58,5.800000,11.000039,6.000039,5.499794,364.705628,11.000000,6.000000,5.500000,364.705882
59,5.900000,11.000019,6.000019,5.499802,364.705677,11.000000,6.000000,5.500000,364.705882
60,6.000000,11.000019,6.000019,5.499806,364.705723,11.000000,6.000000,5.500000,364.705882
