step,time,CMPC_qh,CMPC_qc,CMPC_V,CMPC_T,qh_sp,qc_sp,V_sp,T_sp
0,0.000000,2.535148,11.047175,5.000000,320.000000,0.500000,9.000000,8.100000,305.263158
1,0.100000,2.266692,10.777843,5.408232,319.693221,0.500000,9.000000,8.100000,305.263158
2,0.200000,2.033641,10.543957,5.762686,319.210583,0.500000,9.000000,8.100000,305.263158
3,0.300000,1.831325,10.340857,6.070446,318.627945,0.500000,9.000000,8.100000,305.263158
4,0.400000,1.655692,10.164489,6.337664,317.989592,0.500000,9.000000,8.100000,305.263158
5,0.500000,1.503224,10.011335,6.569682,317.323060,0.500000,9.000000,8.100000,305.263158
6,0.600000,1.370867,9.878339,6.771138,316.646341,0.500000,9.000000,8.100000,305.263158
7,0.700000,1.255970,9.762847,6.946058,315.971641,0.500000,9.000000,8.100000,305.263158
8,0.800000,1.156231,9.662552,7.097940,315.307468,0.500000,9.000000,8.100000,305.263158
9,0.900000,1.069649,9.575455,7.229818,314.659846,0.500000,9.000000,8.100000,305.263158
10,1.000000,0.994491,9.499818,7.344329,314.033063,0.500000,9.000000,8.100000,305.263158
11,1.100000,0.929249,9.434132,7.443760,313.430142,0.500000,9.000000,8.100000,305.263158
12,1.200000,0.872615,9.377086,7.530098,312.853157,0.500000,9.000000,8.100000,305.263158
13,1.300000,0.823454,9.327544,7.605068,312.303457,0.500000,9.000000,8.100000,305.263158
14,1.400000,0.780780,9.284518,7.670168,311.781817,0.500000,9.000000,8.100000,305.263158
15,1.500000,0.743737,9.247149,7.726698,311.288559,0.500000,9.000000,8.100000,305.263158
16,1.600000,0.711582,9.214694,7.775786,310.823644,0.500000,9.000000,8.100000,305.263158
17,1.700000,0.683671,9.186505,7.818414,310.386740,0.500000,9.000000,8.100000,305.263158
18,1.800000,0.659442,9.162022,7.855431,309.977284,0.500000,9.000000,8.100000,305.263158
19,1.900000,0.638410,9.140757,7.887578,309.594528,0.500000,9.000000,8.100000,305.263158
20,2.000000,0.620154,9.122285,7.915494,309.237584,0.500000,9.000000,8.100000,305.263158
21,2.100000,0.604307,9.106241,7.939738,308.905452,0.500000,9.000000,8.100000,305.263158
22,2.200000,0.590550,9.092304,7.960793,308.597056,0.500000,9.000000,8.100000,305.263158
23,2.300000,0.578609,9.080198,7.979079,308.311265,0.500000,9.000000,8.100000,305.263158
24,2.400000,0.568243,9.069682,7.994959,308.046916,0.500000,9.000000,8.100000,305.263158
25,2.500000,0.559244,9.060546,8.008752,307.802830,0.500000,9.000000,8.100000,305.263158
26,2.600000,0.551433,9.052609,8.020731,307.577829,0.500000,9.000000,8.100000,305.263158
27,2.700000,0.544652,9.045714,8.031135,307.370748,0.500000,9.000000,8.100000,305.263158
28,2.800000,0.538765,9.039724,8.040172,307.180442,0.500000,9.000000,8.100000,305.263158
29,2.900000,0.533655,9.034519,8.048021,307.005802,0.500000,9.000000,8.100000,305.263158
30,3.000000,0.529218,9.029997,8.054838,306.845751,0.500000,9.000000,8.100000,305.263158
31,3.100000,0.525366,9.026068,8.060759,306.699257,0.500000,9.000000,8.100000,305.263158
32,3.200000,0.522022,9.022653,8.065903,306.565334,0.500000,9.000000,8.100000,305.263158
33,3.300000,0.519118,9.019686,8.070370,306.443042,0.500000,9.000000,8.100000,305.263158
34,3.400000,0.516597,9.017107,8.074251,306.331493,0.500000,9.000000,8.100000,305.263158
35,3.500000,0.514408,9.014866,8.077621,306.229848,0.500000,9.000000,8.100000,305.263158
36,3.600000,0.512507,9.012918,8.080549,306.137318,0.500000,9.000000,8.100000,305.263158
37,3.700000,0.510856,9.011225,8.083091,306.053164,0.500000,9.000000,8.100000,305.263158
38,3.800000,0.509422,9.009752,8.085299,305.976696,0.500000,9.000000,8.100000,305.263158
39,3.900000,0.508176,9.008472,8.087217,305.907268,0.500000,9.000000,8.100000,305.263158
40,4.000000,0.507094,9.007358,8.088882,305.844284,0.500000,9.000000,8.100000,305.263158
41,4.100000,0.506153,9.006389,8.090327,305.787188,0.500000,9.000000,8.100000,305.263158
42,4.200000,0.505335,9.005546,8.091581,305.735467,0.500000,9.000000,8.100000,305.263158
43,4.300000,0.504624,9.004812,8.092669,305.688646,0.500000,9.000000,8.100000,305.263158
44,4.400000,0.504004,9.004172,8.093613,305.646288,0.500000,9.000000,8.100000,305.263158
45,4.500000,0.503465,9.003614,8.094430,305.607990,0.500000,9.000000,8.100000,305.263158
46,4.600000,0.502995,9.003127,8.095138,305.573383,0.500000,9.000000,8.100000,305.263158
47,4.700000,0.502584,9.002701,8.095750,305.542127,0.500000,9.000000,8.100000,305.263158
48,4.800000,0.502225,9.002328,8.096279,305.513911,0.500000,9.000000,8.100000,305.263158
49,4.900000,0.501910,9.002001,8.096734,305.488451,0.500000,9.000000,8.100000,305.263158
50,5.000000,0.501634,9.001713,8.097125,305.465486,0.500000,9.000000,8.100000,305.263158
51,5.100000,0.501390,9.001458,8.097460,305.444779,0.500000,9.000000,8.100000,305.263158
52,5.200000,0.501173,9.001232,8.097745,305.426112,0.500000,9.000000,8.100000,305.263158
53,5.300000,0.500980,9.001030,8.097985,305.409289,0.500000,9.000000,8.100000,305.263158
54,5.400000,0.500806,9.000848,8.098186,305.394129,0.500000,9.000000,8.100000,305.263158
55,5.500000,0.500649,9.000683,8.098352,305.380468,0.500000,9.000000,8.100000,305.263158
56,5.600000,0.500504,9.000531,8.098485,305.368156,0.500000,9.000000,8.100000,305.263158
57,5.700000,0.500370,9.000389,8.098588,305.357057,0.500000,9.000000,8.100000,305.263158
58,5.800000,0.500242,9.000255,8.098664,305.347047,0.500000,9.000000,8.100000,305.263158
59,5.900000,0.500120,9.000126,8.098714,305.338013,0.500000,9.000000,8.100000,305.263158
60,6.000000,0.500120,9.000126,8.098739,305.329853,0.500000,9.000000,8.100000,305.263158
