step,time,DMPC1_qh,DMPC1_qc,DMPC1_V,DMPC1_T,DMPC2_qh,DMPC2_qc,DMPC2_V,DMPC2_T,qh_sp,qc_sp,V_sp,T_sp
0.0,0.0,11.476349125898306,5.998010723037291,5.0,319.9999999996506,11.008616389759718,6.4738228285606825,5.0,319.9999999996506,11.0,6.0,5.5,364.7058823531342
1.0,0.1,11.431092724384065,5.997715800500899,5.047435984893561,333.41892402249624,11.004752078687458,6.4286472207420555,5.048243921832043,332.6280270000397,11.0,6.0,5.5,364.7058823531342
2.0,0.2,11.390124408118718,5.998133099092428,5.090316837382056,342.77865668381565,11.002793380904786,6.387805605917738,5.091583851774995,341.5017378626062,11.0,6.0,5.5,364.7058823531342
3.0,0.30000000000000004,11.35303866692552,5.9986536030245095,5.129142588103169,349.3338441207329,11.001742204826607,6.350869980961659,5.1306437504572475,347.77954963559534,11.0,6.0,5.5,364.7058823531342
4.0,0.4,11.31946984843186,5.999095371358044,5.1643118150981735,353.94018775236816,11.001146290538415,6.317460477863473,5.165904969036073,352.2494120404851,11.0,6.0,5.5,364.7058823531342
5.0,0.5,11.289086682136128,5.999425598802534,5.196168337077164,357.18554431995796,11.000790989398146,6.287237042449315,5.197765645876262,355.4520497943247,11.0,6.0,5.5,364.7058823531342
6.0,0.6000000000000001,11.261588638649812,5.999657759396757,5.22501956517103,359.4763113641929,11.000569374178196,6.25989388735364,5.226568449061008,357.76129626738174,11.0,6.0,5.5,364.7058823531342
7.0,0.7000000000000001,11.236703059143984,5.999815069838805,5.251144204975688,361.09501148305446,11.00042550839615,6.2351553648732905,5.252614775214194,359.437283602208,11.0,6.0,5.5,364.7058823531342
8.0,0.8,11.214182660928008,5.999918772001714,5.274796017873968,362.239034902483,11.000328715627123,6.212772651125641,5.276172862541136,360.662075204976,11.0,6.0,5.5,364.7058823531342
9.0,0.9,11.193803277041349,5.999985368020049,5.296206161166939,363.04690696469027,11.000261427306231,6.192520951045525,5.297482999216413,361.5637641216373,11.0,6.0,5.5,364.7058823531342
10.0,1.0,11.175361779605321,6.000026809758629,5.31558502567308,363.6162308768313,11.000213191720562,6.17419707474893,5.3167612370515895,362.2329102777244,11.0,6.0,5.5,364.7058823531342
11.0,1.1,11.158674168062948,6.000051448874111,5.333123884609476,364.01601569172664,11.000177586957728,6.1576173011170345,5.334202263698537,362.7338284078748,11.0,6.0,5.5,364.7058823531342
12.0,1.2000000000000002,11.143573812689961,6.000065005225934,5.348996446303182,364.2952021861276,11.000150559275376,6.14261547636589,5.3499817525060145,363.1123900371898,11.0,6.0,5.5,364.7058823531342
13.0,1.3,11.129909845496146,6.000071348995155,5.363360328094772,364.48859022950427,11.000129491277555,6.129041311971162,5.36425835607014,363.4014485121382,11.0,6.0,5.5,364.7058823531342
